epoch,HR@10,NDCG@10,loss,run
26,0.6596,0.3852,0.2037,6
27,0.6596,0.3831,0.2025,6
28,0.6617,0.3884,0.2028,6
29,0.6585,0.3842,0.202,6
30,0.6575,0.3853,0.2019,6
31,0.6617,0.3871,0.202,6
32,0.6575,0.3822,0.2006,6
33,0.6501,0.3791,0.2011,6
34,0.6596,0.3866,0.2005,6
35,0.6575,0.3866,0.2009,6
36,0.666,0.387,0.2006,6
37,0.6585,0.3876,0.2,6
38,0.6575,0.386,0.1994,6
39,0.6723,0.3853,0.2001,6
40,0.6596,0.3903,0.1991,6
41,0.6575,0.3859,0.1988,6
42,0.649,0.3825,0.1977,6
43,0.6564,0.3839,0.1989,6
44,0.6596,0.3877,0.198,6
45,0.6575,0.3855,0.1984,6
46,0.6575,0.3876,0.1985,6
47,0.6649,0.3873,0.1992,6
48,0.6617,0.3889,0.1975,6
49,0.6575,0.3873,0.1979,6
50,0.6543,0.3836,0.197,6
0,0.1039,0.0463,,7
1,0.4327,0.243,0.4537,7
2,0.5429,0.305,0.3097,7
3,0.5705,0.3192,0.2882,7
4,0.5832,0.3287,0.275,7
5,0.6193,0.3506,0.2632,7
6,0.6363,0.3614,0.2537,7
7,0.6416,0.3646,0.2457,7
8,0.6384,0.3702,0.2398,7
9,0.6575,0.3831,0.2334,7
10,0.6564,0.3836,0.2286,7
11,0.6702,0.3859,0.2251,7
12,0.666,0.3872,0.2204,7
13,0.6691,0.3884,0.2183,7
14,0.6681,0.3892,0.2156,7
15,0.6564,0.3865,0.2136,7
16,0.6596,0.3886,0.2119,7
17,0.6808,0.391,0.2101,7
18,0.6744,0.3881,0.2099,7
19,0.6596,0.3886,0.2075,7
20,0.6638,0.3874,0.2072,7
21,0.6681,0.3906,0.2067,7
22,0.6681,0.3916,0.2056,7
23,0.6713,0.3887,0.2053,7
24,0.6691,0.3858,0.2049,7
25,0.6628,0.3869,0.2032,7
26,0.6691,0.3933,0.204,7
27,0.6575,0.3877,0.2033,7
28,0.6691,0.3904,0.2029,7
29,0.667,0.3891,0.2032,7
30,0.6744,0.3919,0.2014,7
31,0.6607,0.3876,0.2011,7
32,0.6554,0.3847,0.2008,7
33,0.6501,0.3924,0.2012,7
34,0.667,0.3886,0.2002,7
35,0.6532,0.3837,0.2003,7
36,0.6638,0.3924,0.1997,7
37,0.6596,0.3872,0.1995,7
38,0.6617,0.3914,0.2001,7
39,0.6638,0.3935,0.199,7
40,0.6681,0.3898,0.199,7
41,0.6564,0.3879,0.1994,7
42,0.6596,0.3895,0.1979,7
43,0.6543,0.3852,0.1979,7
44,0.6617,0.3849,0.1987,7
45,0.6585,0.383,0.198,7
46,0.6585,0.3837,0.1976,7
47,0.6585,0.3866,0.198,7
48,0.6554,0.3841,0.1984,7
49,0.6585,0.3863,0.1976,7
50,0.6596,0.3883,0.197,7
0,0.0965,0.0445,,8
1,0.4178,0.2317,0.4545,8
2,0.5387,0.3084,0.3149,8
3,0.5684,0.3203,0.2861,8
4,0.5928,0.334,0.2735,8
5,0.6087,0.3411,0.2633,8
6,0.6214,0.353,0.2532,8
7,0.6352,0.362,0.2442,8
8,0.6469,0.3672,0.2375,8
9,0.6479,0.3754,0.233,8
10,0.6564,0.3823,0.2286,8
11,0.6501,0.3783,0.2256,8
12,0.6607,0.3831,0.2205,8
13,0.6564,0.3799,0.2189,8
14,0.6501,0.3833,0.2154,8
15,0.6564,0.3838,0.2149,8
16,0.6543,0.3856,0.2124,8
17,0.6532,0.3839,0.2111,8
18,0.6543,0.3817,0.2104,8
19,0.6416,0.3811,0.2088,8
20,0.6596,0.3833,0.2078,8
21,0.6543,0.3784,0.2069,8
22,0.6543,0.3819,0.2066,8
23,0.6628,0.3884,0.2057,8
24,0.6564,0.3872,0.2049,8
25,0.6596,0.3891,0.2052,8
26,0.6532,0.3836,0.2043,8
27,0.6458,0.3857,0.2035,8
28,0.6522,0.389,0.2034,8
29,0.6501,0.3842,0.2028,8
30,0.6511,0.3835,0.2035,8
31,0.6437,0.3807,0.2022,8
32,0.6479,0.3866,0.202,8
33,0.6448,0.3836,0.2022,8
