epoch,HR@10,NDCG@10,loss,run
17,0.6607,0.3856,0.1994,5
18,0.6607,0.387,0.1974,5
19,0.6543,0.38,0.1965,5
20,0.6638,0.3829,0.1955,5
21,0.6554,0.3814,0.1939,5
22,0.6522,0.3797,0.1933,5
23,0.6649,0.384,0.1911,5
24,0.6638,0.3829,0.1903,5
25,0.6617,0.3833,0.1899,5
26,0.6575,0.3763,0.1883,5
27,0.6511,0.3757,0.188,5
28,0.6543,0.3774,0.1871,5
29,0.6501,0.3815,0.1862,5
30,0.6511,0.3775,0.1854,5
31,0.6437,0.3763,0.1848,5
32,0.6437,0.3756,0.1835,5
33,0.6416,0.3722,0.1831,5
34,0.6511,0.3802,0.183,5
35,0.6448,0.3699,0.1817,5
36,0.6522,0.3763,0.1807,5
37,0.6437,0.3765,0.1796,5
38,0.6394,0.3742,0.1798,5
39,0.6501,0.3782,0.179,5
40,0.6352,0.3764,0.1783,5
41,0.6373,0.3755,0.178,5
42,0.6363,0.3701,0.1769,5
43,0.6299,0.3669,0.1766,5
44,0.6352,0.3734,0.1764,5
45,0.6479,0.3778,0.1749,5
46,0.649,0.3806,0.1754,5
47,0.6394,0.3736,0.1741,5
48,0.6426,0.3765,0.1741,5
49,0.6405,0.3697,0.1735,5
50,0.6426,0.3674,0.1725,5
0,0.0997,0.05,,6
1,0.5005,0.2841,0.3705,6
2,0.5822,0.3277,0.2924,6
3,0.6055,0.351,0.2666,6
4,0.6416,0.3675,0.2502,6
5,0.6426,0.3708,0.2374,6
6,0.6532,0.3723,0.2289,6
7,0.666,0.3814,0.2225,6
8,0.6607,0.3781,0.2178,6
9,0.666,0.3868,0.213,6
10,0.6585,0.3801,0.211,6
11,0.666,0.3817,0.2073,6
12,0.6691,0.3867,0.205,6
13,0.667,0.387,0.2031,6
14,0.6734,0.3875,0.2009,6
15,0.6638,0.3872,0.1995,6
16,0.6702,0.3848,0.1975,6
17,0.667,0.3876,0.1962,6
18,0.667,0.3878,0.1959,6
19,0.6702,0.3821,0.1942,6
20,0.6723,0.3862,0.1939,6
21,0.6628,0.3778,0.1915,6
22,0.6638,0.3827,0.1902,6
23,0.6755,0.3789,0.1894,6
24,0.6649,0.3798,0.189,6
25,0.6596,0.3801,0.1875,6
26,0.6617,0.3772,0.1869,6
27,0.6628,0.3794,0.1851,6
28,0.6543,0.3771,0.1842,6
29,0.6543,0.3778,0.1844,6
30,0.6649,0.3794,0.183,6
31,0.6532,0.3784,0.1819,6
32,0.6596,0.3763,0.1812,6
33,0.6554,0.3771,0.1794,6
34,0.6394,0.37,0.1795,6
35,0.6479,0.3756,0.1781,6
36,0.6448,0.3687,0.1783,6
37,0.6426,0.3758,0.1765,6
38,0.6479,0.3752,0.1762,6
39,0.6501,0.3763,0.1758,6
40,0.6617,0.3796,0.175,6
41,0.6426,0.3747,0.1741,6
42,0.6437,0.3795,0.1737,6
43,0.6437,0.3737,0.1716,6
44,0.6511,0.372,0.1719,6
45,0.6437,0.3724,0.1713,6
46,0.6437,0.3689,0.1716,6
47,0.6448,0.372,0.1704,6
48,0.6394,0.3662,0.1699,6
49,0.6479,0.3707,0.1688,6
50,0.632,0.3692,0.1682,6
0,0.0997,0.0451,,7
1,0.5016,0.288,0.3719,7
2,0.5758,0.332,0.2897,7
3,0.6087,0.3463,0.2609,7
4,0.6352,0.3602,0.2471,7
5,0.6501,0.3731,0.2377,7
6,0.6691,0.3801,0.2299,7
7,0.6585,0.3799,0.2233,7
8,0.6596,0.3833,0.2183,7
9,0.6554,0.3795,0.2143,7
10,0.6596,0.3868,0.2106,7
11,0.6649,0.3829,0.2086,7
12,0.6691,0.3919,0.2051,7
13,0.6511,0.3799,0.2043,7
14,0.6554,0.3839,0.2019,7
15,0.6543,0.3856,0.2002,7
16,0.6437,0.3859,0.1992,7
17,0.6575,0.3846,0.1974,7
18,0.6585,0.3825,0.1966,7
19,0.6575,0.3808,0.1953,7
20,0.6511,0.381,0.1943,7
21,0.6564,0.3818,0.1929,7
22,0.6532,0.3764,0.192,7
23,0.6596,0.3835,0.1905,7
24,0.6649,0.3873,0.1894,7
25,0.6617,0.3836,0.1875,7
26,0.6638,0.386,0.1869,7
27,0.6554,0.3814,0.186,7
28,0.6448,0.3797,0.1851,7
29,0.6554,0.3803,0.1838,7
30,0.6575,0.3787,0.1835,7
31,0.6522,0.3791,0.1838,7
32,0.6448,0.3775,0.1817,7
33,0.6554,0.38,0.1805,7
34,0.6458,0.3801,0.1797,7
35,0.6458,0.3777,0.1793,7
36,0.6373,0.3786,0.1783,7
37,0.6469,0.3807,0.1785,7
38,0.6394,0.3783,0.1772,7
39,0.6426,0.3773,0.176,7
40,0.6437,0.3725,0.1754,7
41,0.6448,0.3779,0.1753,7
42,0.6426,0.3819,0.1736,7
43,0.6331,0.371,0.1739,7
44,0.6373,0.377,0.1735,7
45,0.6543,0.3807,0.1726,7
46,0.6352,0.3765,0.1729,7
47,0.6257,0.3722,0.1707,7
48,0.6352,0.3803,0.1702,7
49,0.6416,0.3796,0.1699,7
50,0.6437,0.378,0.169,7
0,0.1113,0.0502,,8
1,0.4973,0.2829,0.371,8
2,0.597,0.3447,0.2897,8
3,0.6267,0.3594,0.2628,8
4,0.6437,0.3712,0.2474,8
5,0.6543,0.3772,0.2376,8
6,0.6448,0.3859,0.2285,8
7,0.6501,0.3863,0.2226,8
8,0.6649,0.3913,0.2175,8
9,0.6681,0.3945,0.2132,8
10,0.6713,0.3968,0.2099,8
