epoch,HR@10,NDCG@10,loss,run
3,0.5334,0.2998,0.3116,9
4,0.5652,0.3112,0.2945,9
5,0.5748,0.3206,0.2863,9
6,0.5896,0.333,0.278,9
7,0.6066,0.3392,0.2699,9
8,0.6278,0.3527,0.2639,9
9,0.6214,0.353,0.2594,9
10,0.6288,0.3626,0.2553,9
11,0.6341,0.3609,0.2519,9
12,0.6384,0.3643,0.2497,9
13,0.6352,0.3659,0.2487,9
14,0.6373,0.3638,0.246,9
15,0.6458,0.3751,0.2457,9
16,0.6448,0.3714,0.2441,9
17,0.649,0.3784,0.244,9
18,0.6437,0.3766,0.2428,9
19,0.6416,0.3754,0.2417,9
20,0.6469,0.3794,0.2414,9
21,0.6585,0.3823,0.2411,9
22,0.6479,0.3785,0.2403,9
23,0.6543,0.3807,0.2403,9
24,0.6554,0.3805,0.2394,9
25,0.6522,0.3823,0.2397,9
26,0.6575,0.3838,0.2387,9
27,0.6554,0.383,0.2384,9
28,0.6532,0.3816,0.2386,9
29,0.6479,0.3824,0.2387,9
30,0.6479,0.3829,0.2381,9
31,0.6522,0.3784,0.2383,9
32,0.6501,0.3815,0.2377,9
33,0.6532,0.3819,0.2374,9
34,0.6575,0.3854,0.2373,9
35,0.6585,0.3873,0.2368,9
36,0.6575,0.3893,0.2369,9
37,0.6543,0.3832,0.2372,9
38,0.6564,0.3855,0.2366,9
39,0.6554,0.3837,0.2367,9
40,0.6543,0.3878,0.2374,9
41,0.6554,0.3875,0.2362,9
42,0.6543,0.3872,0.2361,9
43,0.649,0.3813,0.2353,9
44,0.6575,0.3837,0.236,9
45,0.6564,0.3844,0.2359,9
46,0.6564,0.3835,0.2357,9
47,0.6543,0.3826,0.2363,9
48,0.6564,0.3857,0.2358,9
49,0.6596,0.3871,0.2361,9
50,0.6479,0.3794,0.2363,9
0,0.0891,0.0405,,10
1,0.3881,0.2136,0.4577,10
2,0.4698,0.266,0.3411,10
3,0.5027,0.2785,0.3245,10
4,0.5101,0.2831,0.3161,10
5,0.5334,0.2959,0.3033,10
6,0.5525,0.3085,0.2932,10
7,0.5726,0.3191,0.2841,10
8,0.5917,0.3319,0.2763,10
9,0.6204,0.3483,0.2686,10
10,0.6384,0.3539,0.2624,10
11,0.6267,0.3609,0.2574,10
12,0.6373,0.3629,0.2535,10
13,0.6437,0.3695,0.2511,10
14,0.6501,0.3729,0.2491,10
15,0.6511,0.3712,0.2471,10
16,0.6575,0.3744,0.2462,10
17,0.6596,0.3736,0.2447,10
18,0.6575,0.3757,0.2438,10
19,0.6564,0.3772,0.2427,10
20,0.6554,0.3752,0.2428,10
21,0.6628,0.3785,0.2415,10
22,0.6617,0.3793,0.2415,10
23,0.6628,0.3785,0.2409,10
24,0.6617,0.3804,0.2409,10
25,0.6723,0.3826,0.2401,10
26,0.6628,0.3811,0.2401,10
27,0.6617,0.3846,0.2398,10
28,0.6617,0.3824,0.2398,10
29,0.6617,0.3843,0.2396,10
30,0.6585,0.3804,0.2394,10
31,0.6628,0.3845,0.238,10
32,0.6649,0.3823,0.2385,10
33,0.6723,0.3849,0.2383,10
34,0.6617,0.384,0.2381,10
35,0.6649,0.3816,0.2381,10
36,0.6681,0.3875,0.2381,10
37,0.667,0.3906,0.2382,10
38,0.6585,0.3808,0.2379,10
39,0.667,0.3864,0.2374,10
40,0.6575,0.3837,0.237,10
41,0.6617,0.3864,0.2364,10
42,0.666,0.3881,0.2367,10
43,0.6638,0.3856,0.2369,10
44,0.6617,0.3855,0.2371,10
45,0.6702,0.3883,0.2368,10
46,0.6628,0.387,0.2365,10
47,0.6585,0.3829,0.2369,10
48,0.6596,0.387,0.2369,10
49,0.6585,0.3839,0.2369,10
50,0.6554,0.3876,0.236,10
